t,x,y
0.8252360820770264,960,540
0.9052698612213135,960,540
0.9463303089141846,960,540
0.994330644607544,960,540
1.041863203048706,960,540
1.085862398147583,960,540
1.1344029903411865,960,540
1.1873970031738281,960,540
1.227405309677124,960,540
1.2764408588409424,960,540
1.3295912742614746,960,540
1.3681116104125977,960,540
1.4141242504119873,960,540
1.4586503505706787,960,540
1.5215420722961426,960,540
1.56758451461792,960,540
1.6145942211151123,960,540
1.6641175746917725,960,540
1.7081122398376465,960,540
1.754974365234375,960,540
1.815981388092041,960,540
1.8673384189605713,960,540
1.908334732055664,960,540
1.9537878036499023,960,540
2.0067920684814453,960,540
2.0533173084259033,960,540
2.10731840133667,960,540
2.138779401779175,960,540
2.1707770824432373,960,540
2.198776960372925,960,540
2.2267887592315674,960,540
2.266491174697876,960,540
2.2964932918548584,960,540
2.328500270843506,960,540
2.375535249710083,960,540
2.406548023223877,960,540
2.440068006515503,960,540
2.4700684547424316,960,540
2.5170726776123047,960,540
2.5464377403259277,960,540
2.5749640464782715,960,540
2.610962152481079,960,540
2.641477346420288,960,540
2.6634788513183594,960,540
2.6954805850982666,958.7622171234939,541.4703898530837
2.7395200729370117,954.4283484486782,541.4703898530837
2.783517837524414,951.6216096483641,541.4703898530837
2.8135178089141846,949.8376313860838,541.4703898530837
2.8475680351257324,948.3465524538725,541.4703898530837
2.893617868423462,945.2611727079592,542.9483560073778
2.9401357173919678,942.1897939124021,542.9483560073778
2.9711406230926514,940.6449854957561,542.9483560073778
3.003166913986206,938.5856685546793,542.9483560073778
3.047325849533081,936.9579527422278,542.9483560073778
3.078314781188965,936.9579527422278,542.9483560073778
3.1072988510131836,936.9579527422278,542.9483560073778
3.1378209590911865,936.9579527422278,542.9483560073778
3.1708357334136963,936.9579527422278,542.9483560073778
3.20986270904541,936.9579527422278,542.9483560073778
3.24892258644104,935.4903290886141,542.9483560073778
3.285923957824707,935.4903290886141,542.9483560073778
3.3230698108673096,935.4903290886141,541.7100165975097
3.3619980812072754,935.4903290886141,541.7100165975097
3.4019713401794434,935.4903290886141,540.2577732708952
3.4385018348693848,935.4903290886141,538.9393707117374
3.476531982421875,935.4903290886141,538.9393707117374
3.51434063911438,935.4903290886141,538.9393707117374
3.555842876434326,928.4123087747015,536.8368333709866
3.5933620929718018,923.331176714516,530.5783826902255
3.6348860263824463,916.0012494098963,525.5537339012083
3.674586057662964,900.2765936740694,513.6993484024676
3.7116830348968506,883.6879801144281,497.53765732791305
3.7503819465637207,862.8569835619533,485.35118872661405
3.7881345748901367,840.2786349745658,470.868752703423
3.8362715244293213,818.3222184784506,456.99177117829316
3.9412829875946045,801.3570939899025,442.2947223217913
3.987283229827881,751.4125653210156,416.4622532442636
4.0309295654296875,712.3950495475722,400.0767694293361
4.0791051387786865,676.6913133457061,389.65437749930743
4.139231443405151,640.5769878609497,378.3559236940024
4.188408136367798,610.1380739489867,372.8841823602455
4.236008882522583,557.7683916409314,370.6986843215066
4.281843185424805,535.4008885227366,369.2526340132543
4.3324971199035645,521.0288974113323,369.2526340132543
4.375314474105835,518.3730843599295,369.2526340132543
4.419546127319336,518.3730843599295,369.2526340132543
4.47220253944397,531.0627598603085,369.2526340132543
4.517268657684326,552.3759089722612,369.2526340132543
4.563054084777832,611.9084666272879,383.80976093565107
4.609356164932251,663.4501019950192,399.0006179026075
4.657134294509888,710.3416547258553,421.2258583711597
4.703742265701294,754.5462787198298,446.2039963898796
4.751847743988037,784.2753368891646,473.63602437242093
4.80001163482666,806.619340293018,497.48125863305273
4.843304634094238,823.1784400758299,525.8051204403326
4.904872894287109,850.9380567825449,572.3546444317216
4.952450513839722,868.2129534236417,624.0309492433856
5.001262903213501,879.7641176115125,667.3425896640608
5.046351671218872,894.435241909491,691.6836199448264
5.096955299377441,905.1456089917735,716.1988558160838
5.154656410217285,925.5516395183411,730.4823156831625
5.204766511917114,946.9815200972796,772.1066040537532
5.263814449310303,968.8463626608614,805.456313774966
5.31141471862793,985.648694923401,830.8334912424552
5.372979164123535,994.777389979382,857.9676692928716
5.422565698623657,1012.563842590326,874.4118461558544
5.470722436904907,1019.1736789647656,883.3915129396975
5.5307676792144775,1025.1487485800606,895.6632097806943
5.578909397125244,1041.8936871737546,903.1143795364975
5.627040147781372,1045.2449874737667,918.0044759144384
5.686165809631348,1045.2449874737667,926.972431227295
5.734295606613159,1045.2449874737667,922.6246603647411
5.778814077377319,1060.3564444704316,917.7129345858137
5.843458414077759,1070.1868463678818,912.5629849189023
5.904633283615112,1080.9003380029558,909.3204909550495
5.9698381423950195,1089.2757205033026,902.4881388666681
6.028223991394043,1092.9384230202302,900.6945493602356
6.091660261154175,1103.0388108534273,895.0590035161648
6.139693021774292,1109.3485462765816,895.0590035161648
6.184227705001831,1122.91185790055,890.5435800233756
6.233762979507446,1147.8822930745762,885.4795834485299
6.28082275390625,1161.1257684948425,898.1120755972352
6.328857660293579,1183.5937564498843,905.8602819408982
6.373896360397339,1194.3390836814879,910.7692891186192
6.422894716262817,1217.384133461127,914.1018111165913
6.4658966064453125,1221.232089766955,916.2035093657619
6.515100955963135,1221.232089766955,916.2035093657619
